6-block periodic repeat unit for wurtzite superlattices along the [0001] direction,"Interfacial Energy
(eV/angstrom^2)"
BeTe-CuBr-CuBr-ZnSe-GaP-GaP,0.184
BeTe-CuBr-CuBr-ZnSe-ZnSe-GaAs,0.129
BeTe-CuBr-CuBr-ZnSe-ZnSe-GaP,0.147
BeTe-CuBr-CuBr-ZnSe-ZnSe-ZnSe,0.08
BeTe-CuBr-ZnSe-GaAs-GaAs-GaAs,0.168
BeTe-CuBr-ZnSe-GaP-GaP-GaP,0.193
BeTe-CuBr-ZnSe-ZnSe-GaP-GaP,0.181
BeTe-CuBr-ZnSe-ZnSe-ZnSe-GaP,0.138
BeTe-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,0.07400000000000001
BeTe-GaAs-GaAs-GaAs-GaAs-GaAs,0.067
BeTe-ZnSe-GaAs-GaAs-GaAs-GaAs,0.106
BeTe-ZnSe-GaP-GaP-GaP-GaP,0.133
BeTe-ZnSe-ZnSe-GaAs-GaAs-GaAs,0.106
BeTe-ZnSe-ZnSe-GaP-GaP-GaP,0.132
BeTe-ZnSe-ZnSe-ZnSe-GaAs-GaAs,0.095
BeTe-ZnSe-ZnSe-ZnSe-GaP-GaP,0.117
BeTe-ZnSe-ZnSe-ZnSe-ZnSe-GaAs,0.067
BeTe-ZnSe-ZnSe-ZnSe-ZnSe-GaP,0.08
BeTe-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,0.02
BN-BN-BN-BN-BN-BN,0.0
BP-BP-BP-BP-BP-BP,0.0
BP-BP-BP-BP-BP-GaN,0.431
BP-BP-BP-BP-BP-ZnO,0.518
BP-BP-BP-BP-GaN-GaN,0.4370000000000001
BP-BP-BP-BP-ZnO-GaN,0.478
BP-BP-BP-GaN-GaN-GaN,0.4370000000000001
BP-BP-BP-ZnO-GaN-GaN,0.484
BP-BP-BP-ZnO-ZnO-GaN,0.476
BP-BP-BP-ZnO-ZnO-ZnO,0.515
BP-BP-GaN-GaN-GaN-GaN,0.434
BP-BP-ZnO-GaN-GaN-GaN,0.486
BP-BP-ZnO-ZnO-ZnO-GaN,0.467
BP-GaN-GaN-GaN-GaN-GaN,0.43
BP-ZnO-GaN-GaN-GaN-GaN,0.494
BP-ZnO-ZnO-GaN-GaN-GaN,0.485
BP-ZnO-ZnO-ZnO-GaN-GaN,0.475
BP-ZnO-ZnO-ZnO-ZnO-GaN,0.463
BP-ZnO-ZnO-ZnO-ZnO-ZnO,0.493
CdS-CdS-CdS-CdS-CdS-CdS,0.0
CdS-CdS-CdS-CdS-CdS-InP,0.05
CdS-CdS-CdS-InP-InP-InP,0.07
CdS-CdS-InP-InP-InP-InP,0.067
CdS-InP-InP-InP-InP-InP,0.053
CdSe-CdSe-CdSe-CdSe-CdSe-InAs,0.049
CdSe-CdSe-CdSe-CdSe-CdSe-InP,0.041
CdSe-CdSe-CdSe-CdSe-InAs-InAs,0.047
CdSe-CdSe-CdSe-CdSe-InP-InP,0.061
CdSe-CdSe-CdSe-InP-InP-InP,0.069
CdSe-CdSe-InAs-InAs-InAs-InAs,0.044
CdSe-CdSe-InP-InP-InP-InP,0.066
CdSe-InAs-InAs-InAs-InAs-InAs,0.031
CdSe-InP-InP-InP-InP-InP,0.048
CdTe-CdTe-CdTe-InSb-InSb-InSb,0.044
CuBr-CuBr-CuBr-CuBr-CuBr-CuBr,0.0
CuBr-CuBr-CuBr-CuBr-CuBr-GaAs,0.086
CuBr-CuBr-CuBr-CuBr-CuBr-ZnSe,0.042
CuBr-CuBr-CuBr-CuBr-GaP-GaP,0.13699999999999998
CuBr-CuBr-CuBr-CuBr-ZnSe-GaAs,0.114
CuBr-CuBr-CuBr-CuBr-ZnSe-GaP,0.123
CuBr-CuBr-CuBr-GaAs-GaAs-GaAs,0.115
CuBr-CuBr-CuBr-GaP-GaP-GaP,0.145
CuBr-CuBr-CuBr-ZnSe-GaAs-GaAs,0.139
CuBr-CuBr-CuBr-ZnSe-GaP-GaP,0.158
CuBr-CuBr-CuBr-ZnSe-ZnSe-GaAs,0.113
CuBr-CuBr-CuBr-ZnSe-ZnSe-GaP,0.123
CuBr-CuBr-CuBr-ZnSe-ZnSe-ZnSe,0.041
CuBr-CuBr-GaAs-GaAs-GaAs-GaAs,0.114
CuBr-CuBr-GaP-GaP-GaP-GaP,0.146
CuBr-CuBr-ZnSe-GaAs-GaAs-GaAs,0.111
CuBr-CuBr-ZnSe-GaP-GaP-GaP,0.165
CuBr-CuBr-ZnSe-ZnSe-GaAs-GaAs,0.106
CuBr-CuBr-ZnSe-ZnSe-GaP-GaP,0.153
CuBr-CuBr-ZnSe-ZnSe-ZnSe-GaAs,0.08800000000000001
CuBr-CuBr-ZnSe-ZnSe-ZnSe-GaP,0.081
CuBr-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,0.046
CuBr-GaAs-GaAs-GaAs-GaAs-GaAs,0.116
CuBr-GaP-GaP-GaP-GaP-GaP,0.145
CuBr-ZnSe-GaAs-GaAs-GaAs-GaAs,0.133
CuBr-ZnSe-GaP-GaP-GaP-GaP,0.16
CuBr-ZnSe-ZnSe-GaP-GaP-GaP,0.154
CuBr-ZnSe-ZnSe-ZnSe-ZnSe-GaAs,0.095
CuCl-CuCl-CuCl-CuCl-CuCl-CuCl,0.0
CuCl-CuCl-CuCl-CuCl-CuCl-ZnS,0.047
CuCl-CuCl-CuCl-CuCl-ZnS-ZnS,0.032
CuCl-CuCl-ZnS-ZnS-ZnS-ZnS,0.044
CuCl-ZnS-ZnS-ZnS-ZnS-ZnS,0.061
CuI-CdS-CdS-CdS-CdS-CdS,0.062
CuI-CdS-CdS-CdS-CdS-InP,0.087
CuI-CdS-CdS-InP-InP-InP,0.121
CuI-CdS-InP-InP-InP-InP,0.122
CuI-CdSe-CdSe-CdSe-CdSe-InP,0.08900000000000001
CuI-CdSe-CdSe-CdSe-InP-InP,0.112
CuI-CdSe-CdSe-InP-InP-InP,0.122
CuI-CdSe-InP-InP-InP-InP,0.12
CuI-CuI-CdS-CdS-CdS-CdS,0.083
CuI-CuI-CdS-CdS-InP-InP,0.13
CuI-CuI-CdS-InP-InP-InP,0.136
CuI-CuI-CdSe-CdSe-CdSe-CdSe,0.068
CuI-CuI-CdSe-CdSe-CdSe-InP,0.102
CuI-CuI-CdSe-CdSe-InP-InP,0.126
CuI-CuI-CdSe-InP-InP-InP,0.129
CuI-CuI-CuI-CdS-CdS-CdS,0.08900000000000001
CuI-CuI-CuI-CdS-InP-InP,0.133
CuI-CuI-CuI-CdSe-CdSe-InP,0.107
CuI-CuI-CuI-CuI-CdS-InP,0.112
CuI-CuI-CuI-CuI-CdSe-CdSe,0.068
CuI-CuI-CuI-CuI-CdSe-InP,0.106
CuI-CuI-CuI-CuI-CuI-CdS,0.056
CuI-CuI-CuI-CuI-CuI-CdSe,0.044
CuI-CuI-CuI-CuI-CuI-CuI,0.0
CuI-CuI-CuI-CuI-CuI-InP,0.115
CuI-CuI-CuI-CuI-CuI-ZnTe,0.04
CuI-CuI-CuI-CuI-InP-InP,0.241
CuI-CuI-CuI-CuI-ZnTe-CdSe,0.08199999999999999
CuI-CuI-CuI-CuI-ZnTe-InP,0.123
CuI-CuI-CuI-CuI-ZnTe-ZnTe,0.06
CuI-CuI-CuI-InP-InP-InP,0.124
CuI-CuI-CuI-ZnTe-CdSe-CdSe,0.08900000000000001
CuI-CuI-CuI-ZnTe-InP-InP,0.15
CuI-CuI-CuI-ZnTe-ZnTe-ZnTe,0.065
CuI-CuI-ZnTe-CdSe-CdSe-CdSe,0.083
CuI-CuI-ZnTe-CdSe-CdSe-InP,0.122
CuI-CuI-ZnTe-CdSe-InP-InP,0.149
CuI-CuI-ZnTe-ZnTe-CdSe-CdSe,0.08199999999999999
CuI-CuI-ZnTe-ZnTe-InP-InP,0.147
CuI-CuI-ZnTe-ZnTe-ZnTe-CdSe,0.064
CuI-CuI-ZnTe-ZnTe-ZnTe-InP,0.119
CuI-CuI-ZnTe-ZnTe-ZnTe-ZnTe,0.06
CuI-InP-InP-InP-InP-InP,0.11
CuI-ZnTe-CdSe-CdSe-CdSe-CdSe,0.068
CuI-ZnTe-CdSe-CdSe-CdSe-InP,0.108
CuI-ZnTe-CdSe-CdSe-InP-InP,0.132
CuI-ZnTe-CdSe-InP-InP-InP,0.142
CuI-ZnTe-ZnTe-CdSe-CdSe-CdSe,0.069
CuI-ZnTe-ZnTe-CdSe-CdSe-InP,0.11
CuI-ZnTe-ZnTe-CdSe-InP-InP,0.156
CuI-ZnTe-ZnTe-InP-InP-InP,0.14400000000000002
CuI-ZnTe-ZnTe-ZnTe-CdSe-CdSe,0.069
CuI-ZnTe-ZnTe-ZnTe-CdSe-InP,0.11
CuI-ZnTe-ZnTe-ZnTe-InP-InP,0.132
CuI-ZnTe-ZnTe-ZnTe-ZnTe-CdSe,0.068
CuI-ZnTe-ZnTe-ZnTe-ZnTe-InP,0.105
GaAs-GaAs-CdS-CdS-CdS-CdS,0.09
GaAs-GaAs-GaAs-CdS-CdS-CdS,0.096
GaAs-GaAs-GaAs-GaAs-CdS-CdS,0.098
GaP-GaP-GaP-GaP-GaP-GaP,0.0
GaSb-CdSe-CdSe-CdSe-CdSe-CdSe,0.062
GaSb-CdSe-CdSe-CdSe-CdSe-InAs,0.061
GaSb-CdSe-CdSe-CdSe-InAs-InAs,0.062
GaSb-GaSb-CdSe-CdSe-CdSe-CdSe,0.065
GaSb-GaSb-CdSe-CdSe-CdSe-InAs,0.062
GaSb-GaSb-CdSe-InAs-InAs-InAs,0.055
GaSb-GaSb-GaSb-CdSe-CdSe-CdSe,0.065
GaSb-GaSb-GaSb-CdSe-CdSe-InAs,0.062
GaSb-GaSb-GaSb-GaSb-CdSe-CdSe,0.066
GaSb-GaSb-GaSb-GaSb-CdSe-InAs,0.059
GaSb-GaSb-GaSb-GaSb-GaSb-CdSe,0.065
GaSb-GaSb-GaSb-GaSb-GaSb-GaSb,0.0
GaSb-GaSb-GaSb-GaSb-GaSb-InAs,0.015
GaSb-GaSb-GaSb-GaSb-InAs-InAs,0.012
GaSb-GaSb-GaSb-InAs-InAs-InAs,0.021
GaSb-GaSb-InAs-InAs-InAs-InAs,0.006
InAs-InAs-InAs-InAs-InAs-InAs,0.0
InN-InN-InN-InN-InN-InN,0.0
InP-InP-InP-InP-InP-InP,0.0
InSb-InSb-InSb-InSb-InSb-InSb,0.0
MgS-AlAs-AlAs-AlAs-AlAs-AlAs,0.14
MgS-AlAs-AlAs-AlAs-AlAs-CuBr,0.146
MgS-AlAs-AlAs-AlAs-AlAs-GaAs,0.142
MgS-AlAs-AlAs-AlAs-AlAs-ZnSe,0.104
MgS-AlAs-AlAs-AlAs-CuBr-CuBr,0.125
MgS-AlAs-AlAs-AlAs-CuBr-GaAs,0.224
MgS-AlAs-AlAs-AlAs-CuBr-ZnSe,0.152
MgS-AlAs-AlAs-AlAs-GaAs-GaAs,0.141
MgS-AlAs-AlAs-AlAs-ZnSe-GaAs,0.182
MgS-AlAs-AlAs-AlAs-ZnSe-ZnSe,0.106
MgS-AlAs-AlAs-CuBr-CuBr-GaAs,0.225
MgS-AlAs-AlAs-CuBr-CuBr-ZnSe,0.129
MgS-AlAs-AlAs-CuBr-GaAs-GaAs,0.239
MgS-AlAs-AlAs-CuBr-ZnSe-GaAs,0.228
MgS-AlAs-AlAs-CuBr-ZnSe-ZnSe,0.142
MgS-AlAs-AlAs-GaAs-GaAs-GaAs,0.14
MgS-AlAs-AlAs-ZnSe-ZnSe-ZnSe,0.101
MgS-AlAs-CuBr-CuBr-CuBr-CuBr,0.146
MgS-AlAs-CuBr-CuBr-CuBr-GaAs,0.214
MgS-AlAs-CuBr-CuBr-CuBr-ZnSe,0.11
MgS-AlAs-CuBr-CuBr-GaAs-GaAs,0.233
MgS-AlAs-CuBr-CuBr-ZnSe-ZnSe,0.113
MgS-AlAs-CuBr-GaAs-GaAs-GaAs,0.229
MgS-AlAs-CuBr-ZnSe-GaAs-GaAs,0.234
MgS-AlAs-CuBr-ZnSe-ZnSe-ZnSe,0.12
MgS-AlAs-GaAs-GaAs-GaAs-GaAs,0.139
MgS-AlAs-ZnSe-GaAs-GaAs-GaAs,0.179
MgS-AlAs-ZnSe-ZnSe-GaAs-GaAs,0.183
MgS-AlAs-ZnSe-ZnSe-ZnSe-GaAs,0.17
MgS-AlP-AlP-AlP-AlP-AlP,0.16
MgS-AlP-AlP-AlP-AlP-CuBr,0.174
MgS-AlP-AlP-AlP-AlP-ZnSe,0.131
MgS-AlP-AlP-AlP-CuBr-CuBr,0.19
MgS-AlP-AlP-AlP-CuBr-GaP,0.258
MgS-AlP-AlP-AlP-ZnSe-GaP,0.194
MgS-AlP-AlP-AlP-ZnSe-ZnSe,0.132
MgS-AlP-AlP-CuBr-CuBr-GaP,0.256
MgS-AlP-AlP-CuBr-CuBr-ZnSe,0.135
MgS-AlP-AlP-CuBr-GaP-GaP,0.278
MgS-AlP-AlP-CuBr-ZnSe-GaP,0.251
MgS-AlP-AlP-CuBr-ZnSe-ZnSe,0.16699999999999998
MgS-AlP-AlP-GaP-GaP-GaP,0.162
MgS-AlP-AlP-ZnSe-ZnSe-GaP,0.192
MgS-AlP-AlP-ZnSe-ZnSe-ZnSe,0.121
MgS-AlP-CuBr-CuBr-CuBr-CuBr,0.158
MgS-AlP-CuBr-CuBr-CuBr-GaP,0.229
MgS-AlP-CuBr-CuBr-GaP-GaP,0.26
MgS-AlP-CuBr-CuBr-ZnSe-GaP,0.234
MgS-AlP-CuBr-CuBr-ZnSe-ZnSe,0.108
MgS-AlP-CuBr-GaP-GaP-GaP,0.263
MgS-AlP-CuBr-ZnSe-GaP-GaP,0.257
MgS-AlP-CuBr-ZnSe-ZnSe-GaP,0.22
MgS-AlP-CuBr-ZnSe-ZnSe-ZnSe,0.133
MgS-AlP-GaP-GaP-GaP-GaP,0.161
MgS-AlP-ZnSe-ZnSe-GaP-GaP,0.194
MgS-AlP-ZnSe-ZnSe-ZnSe-ZnSe,0.08900000000000001
MgS-BeTe-AlAs-AlAs-AlAs-CuBr,0.19
MgS-BeTe-AlAs-AlAs-AlAs-GaAs,0.196
MgS-BeTe-AlAs-AlAs-CuBr-GaAs,0.261
MgS-BeTe-AlAs-AlAs-GaAs-GaAs,0.193
MgS-BeTe-AlAs-AlAs-ZnSe-GaAs,0.223
MgS-BeTe-AlAs-AlAs-ZnSe-ZnSe,0.14
MgS-BeTe-AlAs-CuBr-CuBr-CuBr,0.165
MgS-BeTe-AlAs-CuBr-CuBr-ZnSe,0.136
MgS-BeTe-AlAs-CuBr-ZnSe-GaAs,0.245
MgS-BeTe-AlAs-GaAs-GaAs-GaAs,0.191
MgS-BeTe-AlAs-ZnSe-GaAs-GaAs,0.212
MgS-BeTe-AlAs-ZnSe-ZnSe-GaAs,0.204
MgS-BeTe-AlAs-ZnSe-ZnSe-ZnSe,0.112
MgS-BeTe-AlP-AlP-AlP-AlP,0.166
MgS-BeTe-AlP-AlP-AlP-CuBr,0.208
MgS-BeTe-AlP-AlP-AlP-GaP,0.175
MgS-BeTe-AlP-AlP-AlP-ZnSe,0.171
MgS-BeTe-AlP-AlP-CuBr-GaP,0.28300000000000003
MgS-BeTe-AlP-AlP-CuBr-ZnSe,0.204
MgS-BeTe-AlP-AlP-GaP-GaP,0.174
MgS-BeTe-AlP-AlP-ZnSe-GaP,0.227
MgS-BeTe-AlP-AlP-ZnSe-ZnSe,0.158
MgS-BeTe-AlP-CuBr-CuBr-CuBr,0.17800000000000002
MgS-BeTe-AlP-CuBr-CuBr-ZnSe,0.173
MgS-BeTe-AlP-CuBr-ZnSe-GaP,0.251
MgS-BeTe-AlP-CuBr-ZnSe-ZnSe,0.159
MgS-BeTe-AlP-ZnSe-GaP-GaP,0.22
MgS-BeTe-AlP-ZnSe-ZnSe-ZnSe,0.118
MgS-BeTe-BeTe-AlAs-AlAs-AlAs,0.196
MgS-BeTe-BeTe-AlAs-CuBr-GaAs,0.236
MgS-BeTe-BeTe-AlAs-CuBr-ZnSe,0.14800000000000002
MgS-BeTe-BeTe-AlAs-ZnSe-GaAs,0.206
MgS-BeTe-BeTe-AlAs-ZnSe-ZnSe,0.114
MgS-BeTe-BeTe-AlP-AlP-AlP,0.211
MgS-BeTe-BeTe-AlP-AlP-GaP,0.213
MgS-BeTe-BeTe-AlP-AlP-ZnSe,0.159
MgS-BeTe-BeTe-AlP-CuBr-CuBr,0.165
MgS-BeTe-BeTe-AlP-CuBr-GaP,0.243
MgS-BeTe-BeTe-AlP-CuBr-ZnSe,0.158
MgS-BeTe-BeTe-AlP-GaP-GaP,0.21
MgS-BeTe-BeTe-AlP-ZnSe-GaP,0.201
MgS-BeTe-BeTe-AlP-ZnSe-ZnSe,0.118
MgS-BeTe-BeTe-BeTe-AlAs-AlAs,0.187
MgS-BeTe-BeTe-BeTe-AlAs-CuBr,0.141
MgS-BeTe-BeTe-BeTe-AlAs-GaAs,0.188
MgS-BeTe-BeTe-BeTe-AlAs-ZnSe,0.115
MgS-BeTe-BeTe-BeTe-AlP-AlP,0.195
MgS-BeTe-BeTe-BeTe-AlP-GaP,0.196
MgS-BeTe-BeTe-BeTe-BeTe-AlAs,0.155
MgS-BeTe-BeTe-BeTe-BeTe-AlP,0.15
MgS-BeTe-BeTe-BeTe-BeTe-BeTe,0.084
MgS-BeTe-BeTe-BeTe-BeTe-CuBr,0.103
MgS-BeTe-BeTe-BeTe-BeTe-GaAs,0.151
MgS-BeTe-BeTe-BeTe-BeTe-GaP,0.139
MgS-BeTe-BeTe-BeTe-BeTe-ZnSe,0.055
MgS-BeTe-BeTe-BeTe-CuBr-CuBr,0.113
MgS-BeTe-BeTe-BeTe-CuBr-GaAs,0.203
MgS-BeTe-BeTe-BeTe-CuBr-GaP,0.196
MgS-BeTe-BeTe-BeTe-CuBr-ZnSe,0.109
MgS-BeTe-BeTe-BeTe-GaAs-GaAs,0.174
MgS-BeTe-BeTe-BeTe-ZnSe-GaP,0.152
MgS-BeTe-BeTe-CuBr-CuBr-CuBr,0.115
MgS-BeTe-BeTe-CuBr-CuBr-GaAs,0.203
MgS-BeTe-BeTe-CuBr-CuBr-GaP,0.197
MgS-BeTe-BeTe-CuBr-GaAs-GaAs,0.222
MgS-BeTe-BeTe-CuBr-GaP-GaP,0.24
MgS-BeTe-BeTe-CuBr-ZnSe-GaAs,0.215
MgS-BeTe-BeTe-CuBr-ZnSe-GaP,0.21
MgS-BeTe-BeTe-CuBr-ZnSe-ZnSe,0.109
MgS-BeTe-BeTe-GaAs-GaAs-GaAs,0.18
MgS-BeTe-BeTe-GaP-GaP-GaP,0.191
MgS-BeTe-BeTe-ZnSe-GaAs-GaAs,0.18
MgS-BeTe-BeTe-ZnSe-GaP-GaP,0.188
MgS-BeTe-BeTe-ZnSe-ZnSe-GaAs,0.16
MgS-BeTe-BeTe-ZnSe-ZnSe-GaP,0.151
MgS-BeTe-BeTe-ZnSe-ZnSe-ZnSe,0.055
MgS-BeTe-CuBr-CuBr-CuBr-CuBr,0.112
MgS-BeTe-CuBr-CuBr-CuBr-GaAs,0.204
MgS-BeTe-CuBr-CuBr-CuBr-GaP,0.2
MgS-BeTe-CuBr-CuBr-CuBr-ZnSe,0.116
MgS-BeTe-CuBr-CuBr-GaAs-GaAs,0.225
MgS-BeTe-CuBr-CuBr-GaP-GaP,0.243
MgS-BeTe-CuBr-CuBr-ZnSe-GaAs,0.226
MgS-BeTe-CuBr-CuBr-ZnSe-GaP,0.217
MgS-BeTe-CuBr-CuBr-ZnSe-ZnSe,0.115
MgS-BeTe-CuBr-GaAs-GaAs-GaAs,0.219
MgS-BeTe-CuBr-GaP-GaP-GaP,0.244
MgS-BeTe-CuBr-ZnSe-GaAs-GaAs,0.244
MgS-BeTe-CuBr-ZnSe-GaP-GaP,0.261
MgS-BeTe-CuBr-ZnSe-ZnSe-GaP,0.208
MgS-BeTe-CuBr-ZnSe-ZnSe-ZnSe,0.109
MgS-BeTe-GaP-GaP-GaP-GaP,0.192
MgS-BeTe-ZnSe-GaAs-GaAs-GaAs,0.184
MgS-BeTe-ZnSe-GaP-GaP-GaP,0.202
MgS-BeTe-ZnSe-ZnSe-GaAs-GaAs,0.17800000000000002
MgS-BeTe-ZnSe-ZnSe-GaP-GaP,0.187
MgS-BeTe-ZnSe-ZnSe-ZnSe-GaAs,0.158
MgS-BeTe-ZnSe-ZnSe-ZnSe-GaP,0.15
MgS-BeTe-ZnSe-ZnSe-ZnSe-ZnSe,0.054000000000000006
MgS-CuBr-CuBr-CuBr-CuBr-CuBr,0.056
MgS-CuBr-CuBr-CuBr-CuBr-GaAs,0.182
MgS-CuBr-CuBr-CuBr-CuBr-GaP,0.179
MgS-CuBr-CuBr-CuBr-CuBr-ZnSe,0.086
MgS-CuBr-CuBr-CuBr-GaAs-GaAs,0.205
MgS-CuBr-CuBr-CuBr-GaP-GaP,0.229
MgS-CuBr-CuBr-CuBr-ZnSe-GaAs,0.155
MgS-CuBr-CuBr-CuBr-ZnSe-GaP,0.149
MgS-CuBr-CuBr-CuBr-ZnSe-ZnSe,0.046
MgS-CuBr-CuBr-GaP-GaP-GaP,0.236
MgS-CuBr-CuBr-ZnSe-GaAs-GaAs,0.18600000000000005
MgS-CuBr-CuBr-ZnSe-ZnSe-GaAs,0.156
MgS-CuBr-GaP-GaP-GaP-GaP,0.237
MgS-CuBr-ZnSe-GaAs-GaAs-GaAs,0.213
MgS-CuBr-ZnSe-GaP-GaP-GaP,0.238
MgS-CuBr-ZnSe-ZnSe-GaAs-GaAs,0.202
MgS-CuBr-ZnSe-ZnSe-ZnSe-GaAs,0.177
MgS-CuBr-ZnSe-ZnSe-ZnSe-GaP,0.173
MgS-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,0.071
MgS-GaAs-GaAs-GaAs-GaAs-GaAs,0.14800000000000002
MgS-GaP-GaP-GaP-GaP-GaP,0.17
MgS-MgS-AlAs-AlAs-AlAs-AlAs,0.146
MgS-MgS-AlAs-AlAs-AlAs-CuBr,0.145
MgS-MgS-AlAs-AlAs-AlAs-GaAs,0.14800000000000002
MgS-MgS-AlAs-AlAs-CuBr-CuBr,0.12
MgS-MgS-AlAs-AlAs-CuBr-GaAs,0.221
MgS-MgS-AlAs-AlAs-CuBr-ZnSe,0.14300000000000002
MgS-MgS-AlAs-AlAs-GaAs-GaAs,0.146
MgS-MgS-AlAs-AlAs-ZnSe-GaAs,0.182
MgS-MgS-AlAs-AlAs-ZnSe-ZnSe,0.1
MgS-MgS-AlAs-CuBr-CuBr-GaAs,0.21
MgS-MgS-AlAs-CuBr-CuBr-ZnSe,0.113
MgS-MgS-AlAs-CuBr-GaAs-GaAs,0.229
MgS-MgS-AlAs-CuBr-ZnSe-GaAs,0.214
MgS-MgS-AlAs-CuBr-ZnSe-ZnSe,0.12
MgS-MgS-AlAs-GaAs-GaAs-GaAs,0.145
MgS-MgS-AlAs-ZnSe-GaAs-GaAs,0.177
MgS-MgS-AlAs-ZnSe-ZnSe-GaAs,0.172
MgS-MgS-AlAs-ZnSe-ZnSe-ZnSe,0.081
MgS-MgS-AlP-AlP-AlP-GaP,0.174
MgS-MgS-AlP-AlP-AlP-ZnSe,0.133
MgS-MgS-AlP-AlP-CuBr-CuBr,0.125
MgS-MgS-AlP-AlP-CuBr-ZnSe,0.16699999999999998
MgS-MgS-AlP-AlP-ZnSe-ZnSe,0.121
MgS-MgS-AlP-CuBr-CuBr-CuBr,0.157
MgS-MgS-AlP-CuBr-CuBr-GaP,0.225
MgS-MgS-AlP-CuBr-CuBr-ZnSe,0.109
MgS-MgS-AlP-CuBr-GaP-GaP,0.257
MgS-MgS-AlP-CuBr-ZnSe-GaP,0.225
MgS-MgS-AlP-CuBr-ZnSe-ZnSe,0.134
MgS-MgS-AlP-GaP-GaP-GaP,0.171
MgS-MgS-AlP-ZnSe-GaP-GaP,0.189
MgS-MgS-AlP-ZnSe-ZnSe-ZnSe,0.08900000000000001
MgS-MgS-BeTe-AlAs-AlAs-CuBr,0.17800000000000002
MgS-MgS-BeTe-AlAs-AlAs-GaAs,0.194
MgS-MgS-BeTe-AlAs-AlAs-ZnSe,0.14
MgS-MgS-BeTe-AlAs-CuBr-CuBr,0.13
MgS-MgS-BeTe-AlAs-CuBr-GaAs,0.233
MgS-MgS-BeTe-AlAs-CuBr-ZnSe,0.14800000000000002
MgS-MgS-BeTe-AlAs-ZnSe-ZnSe,0.112
MgS-MgS-BeTe-AlP-AlP-AlP,0.211
MgS-MgS-BeTe-AlP-AlP-GaP,0.213
MgS-MgS-BeTe-AlP-AlP-ZnSe,0.158
MgS-MgS-BeTe-AlP-CuBr-CuBr,0.168
MgS-MgS-BeTe-AlP-CuBr-GaP,0.242
MgS-MgS-BeTe-AlP-CuBr-ZnSe,0.159
MgS-MgS-BeTe-AlP-GaP-GaP,0.21
MgS-MgS-BeTe-AlP-ZnSe-GaP,0.199
MgS-MgS-BeTe-AlP-ZnSe-ZnSe,0.117
MgS-MgS-BeTe-BeTe-AlAs-AlAs,0.184
MgS-MgS-BeTe-BeTe-AlAs-CuBr,0.14300000000000002
MgS-MgS-BeTe-BeTe-AlAs-ZnSe,0.114
MgS-MgS-BeTe-BeTe-AlP-AlP,0.194
MgS-MgS-BeTe-BeTe-AlP-CuBr,0.149
MgS-MgS-BeTe-BeTe-AlP-GaP,0.194
MgS-MgS-BeTe-BeTe-AlP-ZnSe,0.118
MgS-MgS-BeTe-BeTe-BeTe-BeTe,0.084
MgS-MgS-BeTe-BeTe-BeTe-CuBr,0.105
MgS-MgS-BeTe-BeTe-BeTe-GaAs,0.15
MgS-MgS-BeTe-BeTe-BeTe-ZnSe,0.056
MgS-MgS-BeTe-BeTe-CuBr-CuBr,0.116
MgS-MgS-BeTe-BeTe-CuBr-GaAs,0.201
MgS-MgS-BeTe-BeTe-CuBr-GaP,0.195
MgS-MgS-BeTe-BeTe-CuBr-ZnSe,0.109
MgS-MgS-BeTe-BeTe-GaAs-GaAs,0.172
MgS-MgS-BeTe-BeTe-GaP-GaP,0.17600000000000002
MgS-MgS-BeTe-BeTe-ZnSe-GaAs,0.16
MgS-MgS-BeTe-BeTe-ZnSe-GaP,0.151
MgS-MgS-BeTe-BeTe-ZnSe-ZnSe,0.055
MgS-MgS-BeTe-CuBr-CuBr-CuBr,0.119
MgS-MgS-BeTe-CuBr-CuBr-GaAs,0.203
MgS-MgS-BeTe-CuBr-CuBr-ZnSe,0.116
MgS-MgS-BeTe-CuBr-ZnSe-GaAs,0.212
MgS-MgS-BeTe-CuBr-ZnSe-GaP,0.209
MgS-MgS-BeTe-CuBr-ZnSe-ZnSe,0.11
MgS-MgS-BeTe-GaAs-GaAs-GaAs,0.17800000000000002
MgS-MgS-BeTe-GaP-GaP-GaP,0.191
MgS-MgS-BeTe-ZnSe-GaAs-GaAs,0.177
MgS-MgS-BeTe-ZnSe-ZnSe-GaAs,0.158
MgS-MgS-CuBr-CuBr-CuBr-CuBr,0.028
MgS-MgS-CuBr-CuBr-CuBr-GaAs,0.194
MgS-MgS-CuBr-CuBr-CuBr-ZnSe,0.099
MgS-MgS-CuBr-CuBr-GaAs-GaAs,0.211
MgS-MgS-CuBr-CuBr-GaP-GaP,0.232
MgS-MgS-CuBr-CuBr-ZnSe-GaAs,0.17
MgS-MgS-CuBr-CuBr-ZnSe-GaP,0.159
MgS-MgS-CuBr-CuBr-ZnSe-ZnSe,0.058
MgS-MgS-CuBr-GaP-GaP-GaP,0.236
MgS-MgS-CuBr-ZnSe-GaAs-GaAs,0.211
MgS-MgS-CuBr-ZnSe-GaP-GaP,0.225
MgS-MgS-CuBr-ZnSe-ZnSe-GaAs,0.18600000000000005
